 work_0, idle_0, heavy_0, work_1, idle_1, heavy_1, work_2, idle_2, heavy_2, work_3, idle_3, heavy_3,chunk_time, totalidle, total_heavy
0.045136, 0.0006343983, 1334,0.0074923, 0.0382781, 0,0.0070465, 0.0387239, 0,0.0072809, 0.0384895, 0,0.0457704, 0.1161259, 1334
0.0441151, 0.0003599003, 1334,0.0066697, 0.0378053, 0,0.0067134, 0.0377616, 0,0.0066985, 0.0377765, 0,0.044475, 0.113703296, 1334
0.044114, 0.0003474988, 1334,0.0072652, 0.0371963, 0,0.0086007, 0.0358608, 0,0.0070809, 0.0373806, 0,0.0444615, 0.110785194, 1334
0.0425616, 0.00034619868, 1334,0.0064512, 0.0364566, 0,0.006847, 0.0360608, 0,0.0063638, 0.036544003, 0,0.0429078, 0.1094076, 1334
0.0432777, 0.00042460114, 1334,0.0069475, 0.036754802, 0,0.0064849, 0.0372174, 0,0.0066055, 0.037096802, 0,0.0437023, 0.1114936, 1334
0.0428279, 0.00041399896, 1334,0.006734, 0.0365079, 0,0.006722, 0.0365199, 0,0.0064179, 0.036824, 0,0.0432419, 0.11026581, 1334
0.0428152, 0.00046670064, 1334,0.0073545, 0.0359274, 0,0.0070381, 0.0362438, 0,0.0074088, 0.0358731, 0,0.0432819, 0.108511, 1334
0.044469, 0.0003584996, 1334,0.007429, 0.0373985, 0,0.0069936, 0.0378339, 0,0.0073302, 0.037497297, 0,0.0448275, 0.11308819, 1334
0.0428128, 0.00043020025, 1334,0.0063516, 0.036891397, 0,0.0072046, 0.0360384, 0,0.0063645, 0.036878496, 0,0.043243, 0.11023849, 1334
0.0432936, 0.00037319958, 1334,0.0067061, 0.0369607, 0,0.0066642, 0.037002597, 0,0.0064487, 0.037218098, 0,0.0436668, 0.11155459, 1334
0.0427598, 0.0003925003, 1334,0.0068358, 0.0363165, 0,0.0066437, 0.036508597, 0,0.006491, 0.036661297, 0,0.0431523, 0.1098789, 1334
0.0434653, 0.0004302971, 1334,0.0066807, 0.037214898, 0,0.0073585, 0.0365371, 0,0.0072957, 0.036599897, 0,0.0438956, 0.11078219, 1334
0.043116, 0.00041680038, 1334,0.0063887, 0.0371441, 0,0.0065725, 0.0369603, 0,0.0066599, 0.0368729, 0,0.0435328, 0.1113941, 1334
0.0427666, 0.0004553981, 1334,0.006459, 0.036762998, 0,0.0066943, 0.0365277, 0,0.0062976, 0.0369244, 0,0.043222, 0.1106705, 1334
0.0430243, 0.00036050007, 1334,0.0069226, 0.036462203, 0,0.0069108, 0.036474, 0,0.0069439, 0.0364409, 0,0.0433848, 0.109737605, 1334
0.0425756, 0.0004335977, 1334,0.0073794, 0.035629798, 0,0.0064667, 0.036542498, 0,0.0063778, 0.036631398, 0,0.0430092, 0.10923729, 1334
0.0441557, 0.00041660294, 1334,0.007578, 0.0369943, 0,0.0070853, 0.037487, 0,0.0067987, 0.0377736, 0,0.0445723, 0.1126715, 1334
0.0427168, 0.00044759735, 1334,0.0069315, 0.0362329, 0,0.0063848, 0.036779597, 0,0.0065587, 0.036605697, 0,0.0431644, 0.11006579, 1334
0.042671, 0.00047660246, 1334,0.0065576, 0.036590002, 0,0.0066514, 0.0364962, 0,0.0065454, 0.036602203, 0,0.0431476, 0.110165, 1334
0.0422665, 0.00038260221, 1334,0.0073834, 0.035265703, 0,0.0066144, 0.036034703, 0,0.0064554, 0.036193702, 0,0.0426491, 0.1078767, 1334
0.0430565, 0.00039049983, 1334,0.0063773, 0.0370697, 0,0.0062972, 0.037149798, 0,0.0063769, 0.0370701, 0,0.043447, 0.11168009, 1334
0.0423803, 0.00036299974, 1334,0.0069873, 0.035756, 0,0.0069731, 0.0357702, 0,0.0066508, 0.036092497, 0,0.0427433, 0.1079817, 1334
0.0419311, 0.00037520006, 1334,0.00628, 0.0360263, 0,0.0063063, 0.036, 0,0.0066974, 0.0356089, 0,0.0423063, 0.1080104, 1334
0.0420935, 0.00037210062, 1334,0.006293, 0.036172602, 0,0.0063277, 0.0361379, 0,0.0064082, 0.0360574, 0,0.0424656, 0.10874, 1334
0.0426807, 0.00036390126, 1334,0.0069416, 0.036103003, 0,0.0063771, 0.0366675, 0,0.0066993, 0.0363453, 0,0.0430446, 0.10947971, 1334
0.0420837, 0.00041070208, 1334,0.0063577, 0.0361367, 0,0.0072835, 0.0352109, 0,0.0066035, 0.0358909, 0,0.0424944, 0.1076492, 1334
0.0425859, 0.00043870136, 1334,0.0066371, 0.0363875, 0,0.0070026, 0.036022, 0,0.006418, 0.0366066, 0,0.0430246, 0.109454796, 1334
0.0424298, 0.00038009882, 1334,0.0073106, 0.0354993, 0,0.006441, 0.0363689, 0,0.0070166, 0.0357933, 0,0.0428099, 0.1080416, 1334
0.0427092, 0.0004922971, 1334,0.0068205, 0.036381, 0,0.0066477, 0.0365538, 0,0.0066919, 0.0365096, 0,0.0432015, 0.1099367, 1334
0.042174, 0.00042830035, 1334,0.0070433, 0.035559, 0,0.0076423, 0.03496, 0,0.006462, 0.0361403, 0,0.0426023, 0.107087605, 1334
0.0431571, 0.00037660077, 1334,0.0064424, 0.0370913, 0,0.0067916, 0.036742102, 0,0.0069457, 0.036588002, 0,0.0435337, 0.110798, 1334
0.0425959, 0.00043809786, 1334,0.0073544, 0.035679597, 0,0.0066719, 0.036362097, 0,0.0068842, 0.0361498, 0,0.043034, 0.10862959, 1334
0.0430781, 0.0008078031, 1334,0.0064241, 0.037461802, 0,0.0064639, 0.037422, 0,0.0064713, 0.037414603, 0,0.0438859, 0.11310621, 1334
0.0432141, 0.0004366003, 1334,0.006692, 0.036958702, 0,0.0065155, 0.037135202, 0,0.0066211, 0.0370296, 0,0.0436507, 0.11156011, 1334
0.0418922, 0.00038889796, 1334,0.0065304, 0.0357507, 0,0.0070332, 0.0352479, 0,0.0064131, 0.035868, 0,0.0422811, 0.1072555, 1334
0.0431644, 0.0004551001, 1334,0.0073429, 0.036276598, 0,0.006886, 0.0367335, 0,0.006393, 0.037226498, 0,0.0436195, 0.1106917, 1334
0.0420578, 0.00039120018, 1334,0.006781, 0.035668, 0,0.0065695, 0.0358795, 0,0.0064862, 0.0359628, 0,0.042449, 0.1079015, 1334
0.0427739, 0.0003812015, 1334,0.0073765, 0.0357786, 0,0.0069599, 0.0361952, 0,0.007117, 0.0360381, 0,0.0431551, 0.1083931, 1334
0.0436283, 0.0004961975, 1334,0.0064677, 0.0376568, 0,0.0066855, 0.037439, 0,0.0068597, 0.037264798, 0,0.0441245, 0.11285679, 1334
0.0426857, 0.00039320067, 1334,0.0064217, 0.0366572, 0,0.0065291, 0.0365498, 0,0.0064199, 0.036659, 0,0.0430789, 0.110259205, 1334
0.0429823, 0.00046430156, 1334,0.0064145, 0.0370321, 0,0.006529, 0.0369176, 0,0.0064074, 0.0370392, 0,0.0434466, 0.111453205, 1334
0.0422033, 0.0003633015, 1334,0.006792, 0.0357746, 0,0.0062664, 0.0363002, 0,0.00668, 0.0358866, 0,0.0425666, 0.10832471, 1334
0.0430232, 0.00044980273, 1334,0.0070392, 0.0364338, 0,0.0071372, 0.036335804, 0,0.006359, 0.037114, 0,0.043473, 0.110333405, 1334
0.0422868, 0.00039390102, 1334,0.0066849, 0.0359958, 0,0.0069295, 0.0357512, 0,0.0066467, 0.036034, 0,0.0426807, 0.108174905, 1334
0.0433489, 0.00041230023, 1334,0.0072717, 0.0364895, 0,0.0065215, 0.0372397, 0,0.0070711, 0.0366901, 0,0.0437612, 0.1108316, 1334
0.0429444, 0.00039029866, 1334,0.0068775, 0.0364572, 0,0.0069123, 0.0364224, 0,0.0068402, 0.0364945, 0,0.0433347, 0.109764405, 1334
0.0426008, 0.0005589016, 1334,0.0072024, 0.0359573, 0,0.0065949, 0.0365648, 0,0.0065544, 0.036605302, 0,0.0431597, 0.1096863, 1334
0.0437724, 0.0003756024, 1334,0.0064158, 0.037732203, 0,0.0068637, 0.0372843, 0,0.0062627, 0.0378853, 0,0.044148, 0.113277406, 1334
0.0422638, 0.0003196001, 1334,0.0063003, 0.0362831, 0,0.0066345, 0.0359489, 0,0.0066241, 0.0359593, 0,0.0425834, 0.1085109, 1334
